id	recognized_monomers	nerpa2_supported_monomers
PNPdb01891	3	2
PNPdb01881	11	11
PNPdb00551	6	6
PNPdb01882	11	11
PNPdb01883	13	13
PNPdb00553	4	2
PNPdb01884	9	9
NPA009637	7	6
PNPdb00554	2	2
PNPdb01885	8	7
PNPdb00555	7	5
PNPdb01886	14	11
PNPdb00557	8	7
PNPdb01888	2	2
PNPdb00558	7	7
NPA010623	13	13
PNPdb00559	6	6
NPA022607	11	7
NPA022604	11	7
NPA022603	11	7
NPA022606	11	7
NPA022605	11	7
NPA008321	4	3
PNPdb00570	9	9
PNPdb00571	7	7
PNPdb01892	3	3
PNPdb00562	3	3
PNPdb01893	5	5
PNPdb00563	7	6
BGC0002367.0	5	4
PNPdb00564	7	6
PNPdb01895	6	6
NPA010637	8	8
NPA011969	7	7
PNPdb00565	6	6
PNPdb01896	4	4
NPA010638	2	2
PNPdb00566	7	7
PNPdb01897	4	4
PNPdb00567	7	7
PNPdb01898	6	6
PNPdb00568	7	7
PNPdb00569	5	5
NPA011960	4	2
BGC0002247.0	0	0
BGC0000399.1	10	10
NPA023926	6	6
BGC0002915.0	5	5
BGC0000399.0	10	10
BGC0002247.3	0	0
PNPdb00580	4	3
BGC0002247.1	0	0
BGC0002247.2	0	0
PNPdb00572	10	10
PNPdb00573	11	11
PNPdb00574	9	9
PNPdb00575	10	10
NPA009615	6	6
PNPdb00576	11	9
NPA010605	6	6
PNPdb00577	6	5
BGC0002091.0	0	0
NPA010602	6	6
PNPdb00578	14	13
NPA011933	3	3
NPA010600	9	9
BGC0001393.0	7	7
NPA023919	4	3
PNPdb00590	6	6
NPA009630	2	2
PNPdb00591	6	6
PNPdb00592	4	4
NPA008301	4	4
PNPdb00593	7	7
BGC0002114.1	1	1
PNPdb00583	5	5
BGC0002114.0	1	1
PNPdb00584	5	5
NPA011949	8	7
PNPdb00585	5	4
NPA010618	12	8
NPA009627	5	5
PNPdb00588	4	2
NPA010613	2	2
PNPdb00589	5	4
BGC0002114.6	1	1
BGC0002114.5	1	1
BGC0002114.4	1	1
BGC0002114.3	1	1
BGC0002114.2	1	1
BGC0000312.0	8	8
NPA009561	3	3
NPA008236	4	4
BGC0002056.0	0	0
PNPdb00480	6	4
PNPdb00481	6	5
PNPdb00482	5	5
PNPdb00474	5	5
PNPdb00475	3	3
PNPdb00476	4	2
PNPdb00477	6	6
PNPdb00478	4	3
NPA010547	18	10
NPA010540	7	7
NPA011891	10	10
NPA022527	4	3
NPA022529	4	3
NPA022528	4	3
PNPdb00491	7	7
PNPdb00492	8	7
PNPdb00493	9	9
NPA023850	11	11
BGC0000432.1	2	2
PNPdb00484	6	6
BGC0000432.2	3	3
PNPdb00485	6	6
BGC0000432.3	4	4
PNPdb00486	7	7
PNPdb00487	7	7
